locus_name	id	strand	chrom	start	end	strand	nfeats	width	model_cov	ltr5_model	int_model	ltr3_model	family
HML3_1p36.33	HML3_0001	oneside	chr1	830923	834079	-	5	3156	2673	MER9a2	HERVK9-int		HML3
HERVL_1p36.32	HERVL_0001	internal	chr1	2556730	2557727	+	1	997	989		HERVL-int		HERVL
HML4_1p36.32	HML4_0001	prototype	chr1	3718035	3723494	-	8	5459	3845	LTR13	HERVK13-int	LTR13	HML4
HERVH_1p36.32a	HERVH_0001	oneside	chr1	4241056	4247574	-	3	6518	6418	LTR7A	HERVH-int		HERVH
HERVH_1p36.32b	HERVH_0002	prototype	chr1	5104855	5113158	+	6	8303	7315	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p36.32c	HERVH_0003	oneside	chr1	5174546	5178948	+	7	4402	3916		HERVH-int	LTR7	HERVH
HERVFH21_1p36.31	HERVFH21_0001	prototype	chr1	6620356	6630343	-	12	9987	6429	LTR21B	HERVFH21-int	LTR21B	HERVFH21
HERV9_1p36.23	HERV9_0001	oneside	chr1	8955935	8959173	+	2	3238	2441		HERV9-int	LTR12	HERV9
HML3_1p36.23	HML3_0002	oneside	chr1	8967868	8968938	-	3	1070	853	MER9a3	HERVK9-int		HML3
HERVFH21_1p36.23	HERVFH21_0002	prototype	chr1	8981110	8987727	+	6	6617	5336	LTR21A	HERVFH21-int	LTR21A	HERVFH21
HERVL_1p36.22	HERVL_0002	oneside	chr1	12449009	12456008	-	3	6999	5600		HERVL-int	MLT2A1	HERVL
HML2_1p36.21a	HML2_0001	oneside	chr1	12840257	12846078	-	2	5821	4813	LTR5B	HERVK-int		HML2
HERV3_1p36.21a	HERV3_0001	oneside	chr1	13152170	13157394	+	6	5224	4260	LTR61	HERV3-int		HERV3
HERV3_1p36.21b	HERV3_0002	oneside	chr1	13204294	13209532	-	5	5238	4166	LTR61	HERV3-int		HERV3
HML2_1p36.21b	HML2_0002	prototype	chr1	13458304	13467826	+	4	9522	7536	LTR5B	HERVK-int	LTR5B	HML2
HML2_1p36.21c	HML2_0003	prototype	chr1	13679140	13688662	+	4	9522	7536	LTR5B	HERVK-int	LTR5B	HML2
HERVH_1p36.21	HERVH_0004	prototype	chr1	13887335	13893989	+	7	6654	5619	LTR7B	HERVH-int	LTR7B	HERVH
HML3_1p36.13a	HML3_0003	prototype	chr1	16429308	16435307	-	4	5999	5096	MER9a2	HERVK9-int	MER9a2	HML3
MER61_1p36.13	MER61_0001	internal	chr1	17818428	17819701	+	3	1273	930		MER61-int		MER61
HML3_1p36.13b	HML3_0004	prototype	chr1	19867970	19874189	+	4	6219	5284	MER9a3	HERVK9-int	MER9a3	HML3
HERVK14C_1p36.13	HERVK14C_0001	internal	chr1	20253925	20258652	-	2	4727	4914		HERVK14C-int		HERVK14C
HML3_1p36.13c	HML3_0005	prototype	chr1	20323903	20330220	+	4	6317	5344	MER9a2	HERVK9-int	MER9a2	HML3
HERVH_1p36.13	HERVH_0005	oneside	chr1	20367773	20372275	-	4	4502	4510		HERVH-int	LTR7	HERVH
HERVE_1p36.12	HERVE_0001	prototype	chr1	20480602	20487103	+	6	6501	5737	LTR2C	HERVE-int	LTR2C	HERVE
PABLB_1p36.12	PABLB_0001	internal	chr1	23270519	23271388	+	1	869	1068		PABL_B-int		PABLB
HERVH_1p36.12	HERVH_0006	prototype	chr1	23323997	23330896	-	6	6899	6056	LTR7C	HERVH-int	LTR7C	HERVH
HERVFRD_1p36.11	HERVFRD_0001	internal	chr1	26959175	26962395	+	5	3220	1388		MER50-int		HERVFRD
HERVL_1p35.3	HERVL_0003	internal	chr1	28980520	28986334	-	5	5814	3669		HERVL-int		HERVL
HML3_1p35.3	HML3_0006	oneside	chr1	30189453	30190639	-	2	1186	712	MER9a3	HERVK9-int		HML3
